komishinichatti	ኮሚሺኒቸቲ
muraasa	ሙራሰ
darban	ደርበን
keessa	ኬሰ
godinicha	ጎዲኒቸ
iddoowwan	ኢዶወን
garaaa	ገራአ
garaatti	ገራቲ
haleellaa	ሀሌላ
hidhattootaan	ሂዳቶታን
konkolaataa	ኮንኮላታ
geejjibaa	ጌጁባ
uummataa	ኡመታ
irratti	ኢረቲ
fudhataneen	ፉዳተኔን
namoonni	ነሞኒ
ajjeefamuu	አጄፈሙ
himu	ሂሙ
jiraataan	ጂራታን
kun	ኩን
midiyaalee	ሚዲያሌ
biyya	ቢየ
keessaa	ኬሳ
guyyoota	ግዮተ
muraasa	ሙራሰ
dura	ዱረ
akka	አከ
gabaasaniitti	ገባሰኒቲ
rakkoon	ረኮን
nageenyaa	ነጌኛ
naannichaa	ናኒቻ
hir	ሂር
achaa	አቻ
jira	ጂረ
jedhanii	ጄዳኒ
ture	ቱሬ
haa	ሃ
ta	ተ
u	ኡ
malee	መሌ
jiraattonni	ጂራቶኒ
garuu	ገሩ
ammallee	አመሌ
rakkoon	ረኮን
jiraachuu	ጂራቹ
himu	ሂሙ
itti	ኢቲ
dabaluun	ደበሉን
jiraataan	ጂራታን
bbcn	ብብጭን
dubbise	ዱቢሴ
kun	ኩን
aanaa	ኣና
dibaaxii	ዲባጢ
keessatti	ኬሰቲ
hidhattootni	ሂዳቶትኒ
nama	ነመ
ajjeesuun	አጄሱን
mana	መነ
gubaa	ግባ
jiraachuu	ጂራቹ
hime	ሂሜ
guyyaa	ግያ
wiixataa	ዊጠታ
aanaa	ኣና
daanguritti	ዳንግሪቲ
lafa	ለፈ
hojjattoonni	ሆጀቶኒ
fayyaa	ፈያ
ukkaafamanii	ኡካፈመኒ
turaniitti	ቱረኒቲ
namni	ነምኒ
ajjeefameera	አጄፈሜረ
konkolaataa	ኮንኮላታ
chaagnii	ቻግኒ
irraa	ኢራ
gara	ገረ
gilgal	ጊልገል
gibee	ጊቤ
imalaa	ኢመላ
ture	ቱሬ
irratti	ኢረቲ
haleellaa	ሀሌላ
raawwatameen	ራወተሜን
namni	ነምኒ
tokko	ቶኮ
ajjeefamee	አጄፈሜ
sadi	ሰዲ
madaa	መዳ
aniiru	አኒሩ
jedhan	ጄዳን
kana	ከነ
malees	መሌስ
amma	አመ
wayitan	ወይተን
sitti	ሲቲ
haasa	ሃሰ
aa	ኣ
jiru	ጂሩ
kanatti	ከነቲ
aanaa	ኣና
dibaaxii	ዲባጢ
ganda	ገንደ
daalattii	ዳለቲ
jedhamtu	ጄዳምቱ
keessatti	ኬሰቲ
hidhattoonni	ሂዳቶኒ
nama	ነመ
tokko	ቶኮ
ajjeesanii	አጄሰኒ
manneen	መኔን
gubachaa	ግበቻ
jiru	ጂሩ
qaamni	ቃምኒ
nageenyaa	ነጌኛ
dhaqqabe	ዳቀቤ
hin	ሂን
jiru	ጂሩ
tasgabbaa	ተስገባ
eera	ኤረ
bakka	በከ
duraatti	ዱራቲ
deebi	ዴቢ
aa	ኣ
jira	ጂረ
kan	ከን
jedhamu	ጄዳሙ
yoo	ዮ
maal	ማል
ta	ተ
edha	ኤዳ
dirqama	ዲርቀመ
guyyaa	ግያ
tokkotti	ቶኮቲ
namni	ነምኒ
ykn	ይክን
dhumuu	ዱሙ
qabaa	ቀባ
obboleessa	ኦብቦሌሰ
koo	ኮ
ani	አኒ
naaf	ናፍ
hin	ሂን
galu	ገሉ
jechuun	ጄቹን
haal	ሃል
naannicha	ናኒቸ
jiru	ጂሩ
himu	ሂሙ
fakkeenyaaf	ፈኬኛፍ
haleellaa	ሀሌላ
guyyaa	ግያ
wiixataa	ዊጠታ
raawwatameen	ራወተሜን
namoonni	ነሞኒ
ajjeefamniiru	አጄፈምኒሩ
kan	ከን
jedhan	ጄዳን
jiraataan	ጂራታን
kun	ኩን
sababa	ሰበበ
rakkoo	ረኮ
nageenyaa	ነጌኛ
jiruun	ጂሩን
hojjettoonni	ሆጄቶኒ
hojii	ሆጂ
invastimantii	ኢንvአስቲመንቲ
qonnaa	ቆና
adda	አደ
kutanii	ኩተኒ
bahaa	በሃ
akka	አከ
jiran	ጂረን
himu	ሂሙ
jiru	ጂሩ
jedhu	ጄዱ
jiraataan	ጂራታን
dubbifne	ዱቢፍኔ
hojjettoonni	ሆጄቶኒ
bahaaniiru	በሃኒሩ
hojiin	ሆጂን
invastimantii	ኢንvአስቲመንቲ
jirbii	ጂርቢ
guuruu	ጉሩ
amma	አመ
ture	ቱሬ
garuu	ገሩ
hojjettoonni	ሆጄቶኒ
tiraaktaraan	ቲራክተራን
bahaa	በሃ
jiru	ጂሩ
abbootii	አቦቲ
qabeenyaa	ቀቤኛ
waliinis	ወሊኒስ
waldhabaa	ወልዳባ
jiru	ጂሩ
amma	አመ
booda	ቦደ
akkam	አከም
akka	አከ
ta	ተ
u	ኡ
hin	ሂን
beeku	ቤኩ
haleellaa	ሀሌላ
beenshaangul	ቤንሻንግል
gumuziin	ግሙzኢኢን
walqabatee	ወልቀበቴ
namoonni	ነሞኒ
kuma	ኩመ
qe	ቄ
eerraa	ኤራ
buqqa	ቡቀ
an	አን
haleellaa	ሀሌላ
haarawa	ሃረወ
naannicha	ናኒቸ
keessatti	ኬሰቲ
raawwate	ራወቴ
jedhame	ጄዳሜ
ilaalchisee	ኢላልቺሴ
hogganoota	ሆገኖተ
naannoo	ናኖ
beenishaangul	ቤኒሻንግል
gumuz	ግሙz
fi	ፊ
kan	ከን
godina	ጎዲነ
matakkal	መተከል
gara	ገረ
garaa	ገራ
irraa	ኢራ
yaada	ያደ
fudhachuuf	ፉዳቹፍ
irra	ኢረ
deddeebiin	ዴዴቢን
bilbillus	ቢልቢሉስ
itti	ኢቲ
hin	ሂን
milkoofne	ሚልኮፍኔ
godina	ጎዲነ
matakkal	መተከል
keessatti	ኬሰቲ
erga	ኤርገ
nageenyi	ነጌኚ
dhibee	ዲቤ
bubbuleera	ቡቡሌረ
mootummaan	ሞቱማን
naannoo	ናኖ
rakkoon	ረኮን
itti	ኢቲ
hammataa	ሀመታ
ture	ቱሬ
bulchiinsa	ቡልቺንሰ
koomaandii	ኮማንዲ
jala	ጀለ
galchuun	ገልቹን
haalicha	ሃሊቸ
tasgabbeessuuf	ተስገቦሱፍ
hojjechaa	ሆጄቻ
jiraachuu	ጂራቹ
himaa	ሂማ
ture	ቱሬ
haaluma	ሃሉመ
kanaanis	ከናኒስ
godina	ጎዲነ
matakkal	መተከል
aanaalee	ኣናሌ
afur	አፉር
kanneen	ከኔን
rakkoonni	ረኮኒ
nageenyaa	ነጌኛ
keessatti	ኬሰቲ
mulatu	ሙለቱ
ali	አሊ
fulbaana	ፉልባነ
bara	በረ
irraa	ኢራ
kaasee	ካሴ
komaandi	ኮማንዲ
postii	pኦስቲ
jala	ጀለ
galfamuun	ገልፈሙን
hojiin	ሆጂን
nageenya	ነጌኘ
eegsisuu	ኤግሲሱ
humnootii	ሁምኖቲ
nageenyaatiin	ነጌኛቲን
hojjetamaa	ሆጄተማ
jira	ጂረ
aanaaleen	ኣናሌን
arfan	አርፈን
komaandi	ኮማንዲ
postii	ፖስቲ
jala	ጀለ
jiran	ጂረን
daangur	ዳንግር
wambaraa	ወምበራ
bulan	ቡለን
fi	ፊ
gubaadha	ግባዳ
bara	በረ
kana	ከነ
qofa	ቆፈ
haleellaawwan	ሀሌላወን
yeroo	ዬሮ
gara	ገረ
garaatti	ገራቲ
naannoo	ናኖ
beenishaangul	ቤኒሻንግል
gumuz	ግሙz
keessatti	ኬሰቲ
mudateen	ሙደቴን
yoo	ዮ
xiqqaate	ጢቃቴ
namoonni	ነሞኒ
ol	ኦል
ajjeefamaniiru	አጄፈመኒሩ
haleellaa	ሀሌላ
mudde	ሙዴ
aanaa	ኣና
bulan	ቡለን
ganda	ገንደ
bakujjii	በኩጂ
jedhamtutti	ጄዳምቱቲ
lraawwatameen	ልራወተሜን
ubbuu	ኡቡ
namoota	ነሞተ
darbuun	ደርቡን
ni	ኒ
yaadatama	ያደተመ
kana	ከነ
hordoofees	ሆርዶፌስ
aanga	ኣንገ
oonni	ኦኦኒ
naannichaa	ናኒቻ
haala	ሃለ
kana	ከነ
keessaa	ኬሳ
harka	ሀርከ
qabaachuun	ቀባቹን
shakkaman	ሸከመን
muraasni	ሙራስኒ
to	ቶ
annoo	አኖ
jala	ጀለ
oolfamuun	ኦኦልፈሙን
miseensoota	ሚሴንሶተ
hidhattootaa	ሂዳቶታ
kan	ከን
ta	ተ
an	አን
irrattis	ኢረቲስ
tarkaanfiin	ተርካንፊን
fudhatamuun	ፉዳተሙን
himamunsaa	ሂመሙንሳ
ni	ኒ
yaadatama	ያደተመ
gamoowwan	ገሞወን
mana	መነ
maree	መሬ
teeksaas	ቴክሳስ
origoon	ኦሪጎን
mishigan	ሚሺገን
ohaayoo	ኦሃዮ
fi	ፊ
muraasaa	ሙራሳ
biroo	ቢሮ
fulduratti	ፉልዱረቲ
mormiin	ሞርሚን
gaggeefamaa	ገጌፈማ
jira	ጂረ
manneen	መኔን
maree	መሬ
us	ኡስ
biroo	ቢሮ
hedduu	ሄዱ
garuu	ገሩ
dilbata	ዲልበተ
kana	ከነ
homaa	ሆማ
mormii	ሞርሚ
hin	ሂን
agarre	አገሬ
muudama	ሙደመ
pireezidantii	pኢሬzኢደንቲ
roobii	ሮቢ
gaggeeffamu	ገጌፈሙ
dura	ዱረ
fbi	ፍቢ
namootni	ነሞትኒ
meeshaa	ሜሻ
hidhatan	ሂዳተን
mormii	ሞርሚ
gaggeessuu	ገጌሱ
akka	አከ
malan	መለን
akeekkachiiseera	አኬከቺሴረ
injifatan	ኢንጂፈተን
filannoo	ፊለኖ
pireezidantummaa	pኢሬzኢደንቱማ
joo	ጆ
baayiden	ባይዴን
deggaartoonni	ዴጋርቶኒ
tiraamp	ቲራምp
erga	ኤርገ
us	ኡስ
kappitool	ከppኢቶል
waashiingitan	ዋሺንጊተን
amajjii	አመጂ
irratti	ኢረቲ
hokkora	ሆኮረ
kaasanii	ካሰኒ
lubbuun	ሉቡን
namoota	ነሞተ
shanii	ሸኒ
darbee	ደርቤ
torban	ቶርበን
lama	ለመ
booda	ቦደ
sirna	ሲርነ
kakuu	ከኩ
raawwatu	ራወቱ
guutummaa	ጉቱማ
waashiingitanitti	ዋሺንጊተኒቲ
loltoonni	ሎልቶኒ
national	ነቲኦነል
guard	ግአርድ
kan	ከን
bobbaafaman	ቦባፈመን
yoo	ዮ
ta	ተ
u	ኡ
us	ኡስ
kappotool	ከppኦቶል
sibiilaan	ሲቢላን
dalleeffamee	ደሌፈሜ
jira	ጂረ
magaaloti	መጋሎቲ
hedduun	ሄዱን
mormii	ሞርሚ
uumamuu	ኡመሙ
danda	ደንደ
sodaa	ሶዳ
guyyootii	ግዮቲ
darban	ደርበን
keessa	ኬሰ
meeshaalee	ሜሻሌ
ittisaa	ኢቲሳ
fi	ፊ
loltoota	ሎልቶተ
bobbaasuun	ቦባሱን
qophaa	ቆጳ
aa	ኣ
jiru	ጂሩ
miidiyalee	ሚዲየሌ
hawaasummaa	ሀዋሱማ
irratti	ኢረቲ
deggartoonni	ዴገርቶኒ
tiraamp	ቲራምp
meeshaa	ሜሻ
hidhachuun	ሂዳቹን
mormiiin	ሞርሚኢን
keessuumaa	ኬሱማ
dilbata	ዲልበተ
akka	አከ
gaggeeffamuuf	ገጌፈሙፍ
kan	ከን
waamicha	ዋሚቸ
dhiyeessaaa	ዲዬሳአ
turan	ቱረን
gareeleen	ገሬሌን
hidhattootaa	ሂዳቶታ
tokko	ቶኮ
tokko	ቶኮ
garuu	ገሩ
miseensonni	ሚሴንሶኒ
isaanii	ኢሳኒ
kiyyoo	ኪዮ
poolisii	pኦኦሊሲ
keessa	ኬሰ
seentu	ሴንቱ
jechuun	ጄቹን
akka	አከ
mormii	ሞርሚ
kanaratti	ከነረቲ
hin	ሂን
hirmanneef	ሂርመኔፍ
gorsaa	ጎርሳ
jiru	ጂሩ
akka	አከ
gabaasaa	ገባሳ
niiw	ኒው
yoork	ዮርክ
taayimsitti	ታይምሲቲ
miseensoonni	ሚሴንሶኒ
sochii	ሶቺ
buugaloo	ቡገሎ
boyis	ቦይስ
ta	ተ
an	አን
meeshaa	ሜሻ
waraanaa	ወራና
hiidhatanii	ሂዳተኒ
mana	መነ
maree	መሬ
kolombus	ኮሎምቡስ
ohaayoo	ኦሃዮ
fulduratti	ፉልዱረቲ
walitti	ወሊቲ
qabamanii	ቀበመኒ
turani	ቱረኒ
namootni	ነሞትኒ
gartuu	ገርቱ
mootummaa	ሞቱማ
us	ኡስ
kuffisuu	ኩፊሱ
barbaadanii	በርባደኒ
an	አን
kun	ኩን
garuu	ገሩ
hiirira	ሂሪረ
mormii	ሞርሚ
mirga	ሚርገ
meeshaa	ሜሻ
hidhachuuf	ሂዳቹፍ
akka	አከ
walitti	ወሊቲ
qabaman	ቀበመን
himu	ሂሙ
mishigaan	ሚሺጋን
keessatti	ኬሰቲ
ammo	አሞ
namootni	ነሞትኒ
gara	ገረ
olii	ኦሊ
gariin	ገሪን
meeshaa	ሜሻ
hidhatanii	ሂዳተኒ
mana	መነ
maree	መሬ
magalaa	መገላ
laansiing	ላንሲንግ
duratti	ዱረቲ
utuu	ኡቱ
poolisiin	pኦኦሊሲን
callisee	ጨሊሴ
ilaaluu	ኢላሉ
mormii	ሞርሚ
gaggeessaa	ገጌሳ
turani	ቱረኒ
ani	አኒ
hokkora	ሆኮረ
kaasufan	ካሱፈን
dhufe	ዱፌ
miti	ሚቲ
eenyuyyu	ኤኙዩ
hokkora	ሆኮረ
hin	ሂን
kaasu	ካሱ
jedheen	ጄዴን
abdadha	አብደዳ
jechuun	ጄቹን
mormiitota	ሞርሚቶተ
keessa	ኬሰ
tokko	ቶኮ
reuters	ሬኡቴርስ
tti	ቲ
himeera	ሂሜረ
akkuma	አኩመ
kana	ከነ
mana	መነ
maree	መሬ
teeksaas	ቴክሳስ
ostin	ኦስቲን
duratti	ዱረቲ
mormitootni	ሞርሚቶትኒ
murasii	ሙረሲ
kaan	ካን
meeshaa	ሜሻ
hidhatanii	ሂዳተኒ
walitti	ወሊቲ
qabamanii	ቀበመኒ
turani	ቱረኒ
roobii	ሮቢ
yeroo	ዬሮ
baayiden	ባይዴን
tiraampiin	ቲራምpኢኢን
bakka	በከ
bu	ቡ
uun	ኡን
aangoo	ኣንጎ
pireezidantummaatti	pኢሬzኢደንቱማቲ
muudamu	ሙደሙ
moormiin	ሞርሚን
jiraachuu	ጂራቹ
mala	መለ
jedhamee	ጄዳሜ
eegama	ኤገመ
dubbii	ዱቢ
himaan	ሂማን
waranaa	ወረና
raayan	ራየን
makaartii	መካርቲ
dilbata	ዲልበተ
miiseensoonni	ሚሴንሶኒ
waraanaa	ወራና
soda	ሶደ
isaan	ኢሳን
keessa	ኬሰ
kan	ከን
hokkora	ሆኮረ
kaasuu	ካሱ
jirachuu	ጂረቹ
mala	መለ
jedhuun	ጄዱን
qoratamuu	ቆረተሙ
isaanii	ኢሳኒ
asoosheetid	አሶሼቲድ
pireesitti	pኢሬሲቲ
himeera	ሂሜረ
akkasumas	አከሱመስ
dilbata	ዲልበተ
niiw	ኒው
meeksikoo	ሜክሲኮ
keessatti	ኬሰቲ
qondaalli	ቆንዳሊ
mootummaa	ሞቱማ
tokko	ቶኮ
hokkoraa	ሆኮራ
amajjii	አመጂ
waashingitaniin	ዋሺንጊተኒን
wal	ወል
qabate	ቀበቴ
to	ቶ
annoo	አኖ
jala	ጀለ
ooleera	ኦኦሌረ
baayden	ባይዴን
aangoo	ኣንጎ
fudhatee	ፉዳቴ
guyyaa	ግያ
jalqabaa	ጀልቀባ
irratti	ኢረቲ
dhorkii	ድኦርኪኢ
imalaa	ኢመላ
tiraamp	ቲራምp
ka	ከ
ee	ኤ
akka	አከ
haqamuu	ሀቀሙ
fi	ፊ
us	ኡስ
waligaltee	ወሊገልቴ
jijjirama	ጂጁረመ
qilleensaa	ቂሌንሳ
paariis	pኣሪስ
keessa	ኬሰ
deebitee	ዴቢቴ
akka	አከ
seentuuf	ሴንቱፍ
ajaja	አጀጀ
ni	ኒ
dabarsa	ደበርሰ
akkasumas	አከሱመስ
maatilee	ማቲሌ
daangaa	ዳንጋ
us	ኡስ
meeksikoo	ሜክሲኮ
irratti	ኢረቲ
gargar	ገርገር
ba	በ
an	አን
deebisanii	ዴቢሰኒ
akka	አከ
wal	ወል
argan	አርገን
akka	አከ
taasisuu	ታሲሱ
fi	ፊ
covid	ጮvኢድ
walqabatee	ወልቀበቴ
maaskii	ማስኪኢ
uffachuu	ኡፈቹ
fi	ፊ
qajeelfamoota	ቀጄልፈሞተ
biroo	ቢሮ
akka	አከ
dabarsu	ደበርሱ
ni	ኒ
eegama	ኤገመ
gaartuun	ጋርቱን
baayden	ባይዴን
sababa	ሰበበ
weerara	ዌረረ
covid	ጮvኢድ
tti	ቲ
jecha	ጄቸ
muudama	ሙደመ
pireezidaantiif	pኢሬzኢዳንቲፍ
gara	ገረ
magaalaa	መጋላ
gudduttiitti	ግዱቲቲ
akka	አከ
hin	ሂን
imalleef	ኢመሌፍ
lammilee	ለሚሌ
ameerikaa	አሜሪካ
gaafataniiru	ጋፈተኒሩ
qoondaaltonnis	ቆንዳልቶኒስ
sagantichaa	ሰገንቲቻ
lammileeen	ለሚሌኤን
manuma	መኑመ
isaaniitti	ኢሳኒቲ
akka	አከ
daawwataniif	ዳወተኒፍ
gaafataniiru	ጋፈተኒሩ
amoowwan	ገሞወን
mana	መነ
maree	መሬ
teeksaas	ቴክሳስ
origoon	ኦሪጎን
mishigan	ሚሺገን
ohaayoo	ኦሃዮ
fi	ፊ
muraasaa	ሙራሳ
biroo	ቢሮ
fulduratti	ፉልዱረቲ
mormiin	ሞርሚን
gaggeefamaa	ገጌፈማ
jira	ጂረ
manneen	መኔን
maree	መሬ
us	ኡስ
biroo	ቢሮ
hedduu	ሄዱ
garuu	ገሩ
dilbata	ዲልበተ
kana	ከነ
homaa	ሆማ
mormii	ሞርሚ
hin	ሂን
agarre	አገሬ
muudama	ሙደመ
pireezidantii	pኢሬzኢደንቲ
roobii	ሮቢ
gaggeeffamu	ገጌፈሙ
dura	ዱረ
fbi	ፍቢ
namootni	ነሞትኒ
meeshaa	ሜሻ
hidhatan	ሂዳተን
mormii	ሞርሚ
gaggeessuu	ገጌሱ
akka	አከ
malan	መለን
akeekkachiiseera	አኬከቺሴረ
injifatan	ኢንጂፈተን
filannoo	ፊለኖ
pireezidantummaa	pኢሬzኢደንቱማ
joo	ጆ
baayiden	ባይዴን
deggaartoonni	ዴጋርቶኒ
tiraamp	ቲራምp
erga	ኤርገ
us	ኡስ
kappitool	ከppኢቶል
waashiingitan	ዋሺንጊተን
amajjii	አመጂ
irratti	ኢረቲ
hokkora	ሆኮረ
kaasanii	ካሰኒ
lubbuun	ሉቡን
namoota	ነሞተ
shanii	ሸኒ
darbee	ደርቤ
torban	ቶርበን
lama	ለመ
booda	ቦደ
sirna	ሲርነ
kakuu	ከኩ
raawwatu	ራወቱ
guutummaa	ጉቱማ
waashiingitanitti	ዋሺንጊተኒቲ
loltoonni	ሎልቶኒ
national	ነቲኦነል
guard	ግአርድ
kan	ከን
bobbaafaman	ቦባፈመን
yoo	ዮ
ta	ተ
u	ኡ
us	ኡስ
kappotool	ከppኦቶል
sibiilaan	ሲቢላን
dalleeffamee	ደሌፈሜ
jira	ጂረ
magaaloti	መጋሎቲ
hedduun	ሄዱን
mormii	ሞርሚ
uumamuu	ኡመሙ
danda	ደንደ
u	ኡ
sodaa	ሶዳ
guyyootii	ግዮቲ
darban	ደርበን
keessa	ኬሰ
meeshaalee	ሜሻሌ
ittisaa	ኢቲሳ
fi	ፊ
loltoota	ሎልቶተ
bobbaasuun	ቦባሱን
qophaa	ቆጳ
aa	ኣ
jiru	ጂሩ
miidiyalee	ሚዲየሌ
hawaasummaa	ሀዋሱማ
irratti	ኢረቲ
deggartoonni	ዴገርቶኒ
tiraamp	ቲራምp
meeshaa	ሜሻ
hidhachuun	ሂዳቹን
mormiiin	ሞርሚኢን
keessuumaa	ኬሱማ
dilbata	ዲልበተ
akka	አከ
gaggeeffamuuf	ገጌፈሙፍ
kan	ከን
waamicha	ዋሚቸ
dhiyeessaaa	ዲዬሳአ
turan	ቱረን
gareeleen	ገሬሌን
hidhattootaa	ሂዳቶታ
tokko	ቶኮ
tokko	ቶኮ
garuu	ገሩ
miseensonni	ሚሴንሶኒ
isaanii	ኢሳኒ
kiyyoo	ኪዮ
poolisii	pኦኦሊሲ
keessa	ኬሰ
seentu	ሴንቱ
jechuun	ጄቹን
akka	አከ
mormii	ሞርሚ
kanaratti	ከነረቲ
hin	ሂን
hirmanneef	ሂርመኔፍ
gorsaa	ጎርሳ
jiru	ጂሩ
akka	አከ
gabaasaa	ገባሳ
niiw	ኒው
yoork	ዮርክ
taayimsitti	ታይምሲቲ
miseensoonni	ሚሴንሶኒ
sochii	ሶቺ
buugaloo	ቡገሎ
boyis	ቦይስ
ta	ተ
an	አን
meeshaa	ሜሻ
waraanaa	ወራና
hiidhatanii	ሂዳተኒ
mana	መነ
maree	መሬ
kolombus	ኮሎምቡስ
ohaayoo	ኦሃዮ
fulduratti	ፉልዱረቲ
walitti	ወሊቲ
qabamanii	ቀበመኒ
turani	ቱረኒ
namootni	ነሞትኒ
gartuu	ገርቱ
mootummaa	ሞቱማ
us	ኡስ
kuffisuu	ኩፊሱ
barbaadanii	በርባደኒ
ta	ተ
an	አን
kun	ኩን
garuu	ገሩ
hiirira	ሂሪረ
mormii	ሞርሚ
wa	ወ
ee	ኤ
mirga	ሚርገ
meeshaa	ሜሻ
hidhachuuf	ሂዳቹፍ
akka	አከ
walitti	ወሊቲ
qabaman	ቀበመን
himu	ሂሙ
mishigaan	ሚሺጋን
keessatti	ኬሰቲ
ammo	አሞ
namootni	ነሞትኒ
gara	ገረ
olii	ኦሊ
gariin	ገሪን
meeshaa	ሜሻ
hidhatanii	ሂዳተኒ
mana	መነ
maree	መሬ
magalaa	መገላ
laansiing	ላንሲንግ
duratti	ዱረቲ
utuu	ኡቱ
poolisiin	pኦኦሊሲን
callisee	ጨሊሴ
ilaaluu	ኢላሉ
mormii	ሞርሚ
gaggeessaa	ገጌሳ
turani	ቱረኒ
ani	አኒ
hokkora	ሆኮረ
kaasufan	ካሱፈን
dhufe	ዱፌ
miti	ሚቲ
eenyuyyu	ኤኙዩ
hokkora	ሆኮረ
hin	ሂን
kaasu	ካሱ
jedheen	ጄዴን
abdadha	አብደዳ
jechuun	ጄቹን
mormiitota	ሞርሚቶተ
keessa	ኬሰ
